lad24cd,la_name,pfa_name,pfa_name_safelives,population_weight,source
E06000001,Hartlepool UA,Cleveland,Cleveland,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000002,Middlesbrough UA,Cleveland,Cleveland,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000003,Redcar & Cleveland UA,Cleveland,Cleveland,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000004,Stockton-on-Tees UA,Cleveland,Cleveland,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000005,Darlington UA,Durham,Durham,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000006,Halton UA,Cheshire,Cheshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000007,Warrington UA,Cheshire,Cheshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000008,Blackburn with Darwen UA,Lancashire,Lancashire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000009,Blackpool UA,Lancashire,Lancashire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000010,Kingston-upon-Hull UA,Humberside,Humberside,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000011,East Riding of Yorkshire UA,Humberside,Humberside,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000012,North East Lincolnshire UA,Humberside,Humberside,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000013,North Lincolnshire UA,Humberside,Humberside,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000014,York UA,North Yorkshire,North Yorkshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000015,Derby City UA,Derbyshire,Derbyshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000016,Leicester City UA,Leicestershire,Leicestershire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000017,Rutland UA,Leicestershire,Leicestershire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000018,Nottingham City UA,Nottinghamshire,Nottinghamshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000019,Herefordshire UA,West Mercia,West Mercia,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000020,Telford & the Wrekin UA,West Mercia,West Mercia,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000021,Stoke-on-Trent UA,Staffordshire,Staffordshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000022,Bath & North East Somerset UA,Avon and Somerset,Avon and Somerset,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000023,Bristol UA,Avon and Somerset,Avon and Somerset,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000024,North Somerset UA,Avon and Somerset,Avon and Somerset,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000025,South Gloucestershire UA,Avon and Somerset,Avon and Somerset,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000026,Plymouth UA,Devon & Cornwall,Devon & Cornwall,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000027,Torbay UA,Devon & Cornwall,Devon & Cornwall,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000030,Swindon UA,Wiltshire,Wiltshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000031,Peterborough UA,Cambridgeshire,Cambridgeshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000032,Luton UA,Bedfordshire,Bedfordshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000033,Southend-on-Sea UA,Essex,Essex,1.0,ONS PFA boundaries 2024 - LAD24CD basis
