lad24cd,reporting_year,households_on_register,jointly_managed_register,reasonable_preference,source
E07000223,2015,1261,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000223,2016,691,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000223,2017,769,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000223,2018,854,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000223,2019,626,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000223,2020,751,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000223,2021,741,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000223,2022,829,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000223,2023,936,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000223,2024,980,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000223,2025,1033,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E06000063,2015,0,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E06000063,2016,0,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E06000063,2017,0,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E06000063,2018,0,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E06000063,2019,2028,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E06000063,2020,2313,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E06000063,2021,2585,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E06000063,2022,3296,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E06000063,2023,3619,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000032,2015,2106,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000032,2016,2985,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000032,2017,2324,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000032,2018,1791,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000032,2019,2026,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000032,2020,1848,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000032,2021,2035,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000032,2022,1948,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000032,2023,1932,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000032,2024,2072,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000032,2025,2273,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E07000224,2015,993,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000224,2016,841,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000224,2017,1257,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000224,2018,839,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000224,2019,846,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000224,2020,941,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000224,2021,1054,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000224,2022,1317,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000224,2023,1732,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000224,2024,2274,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000224,2025,1655,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E07000170,2015,4495,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000170,2016,4661,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000170,2017,4128,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000170,2018,3346,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000170,2019,4286,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000170,2020,3673,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000170,2021,3474,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000170,2022,4074,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000170,2023,3989,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000170,2024,4008,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000170,2025,3847,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E07000105,2015,1254,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000105,2016,1609,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000105,2017,1572,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000105,2018,1129,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000105,2019,1074,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000105,2020,1077,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000105,2021,1246,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000105,2022,1294,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000105,2023,1221,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000105,2024,1457,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000105,2025,1478,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E06000060,2015,2570,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E06000060,2016,3078,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E06000060,2017,3505,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E06000060,2018,3686,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E06000060,2019,2808,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E06000060,2020,2096,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000200,2015,864,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000200,2016,851,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000200,2017,761,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000200,2018,748,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000200,2019,912,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000200,2020,830,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000200,2021,754,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000200,2022,786,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000200,2023,791,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000200,2024,962,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000200,2025,1067,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E09000002,2015,13579,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E09000002,2016,6704,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E09000002,2017,6795,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E09000002,2018,4587,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E09000002,2019,4856,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E09000002,2020,5350,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E09000002,2021,5585,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E09000002,2022,5996,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E09000002,2023,4337,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E09000002,2024,3940,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E09000002,2025,4253,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E09000003,2015,3065,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E09000003,2016,3213,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E09000003,2017,2683,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E09000003,2018,2648,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E09000003,2019,2914,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E09000003,2020,1678,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E09000003,2021,3171,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E09000003,2022,3241,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E09000003,2023,4149,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E09000003,2024,4437,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E09000003,2025,3485,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E08000016,2015,5858,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E08000016,2016,5129,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E08000016,2017,5472,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E08000016,2018,3888,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E08000016,2019,5286,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E08000016,2020,5238,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E08000016,2021,6161,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E08000016,2022,5855,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E08000016,2023,6725,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E08000016,2024,7762,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E08000016,2025,4138,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E06000064,2015,1647,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E06000064,2016,1407,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E06000064,2017,1103,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E06000064,2018,1182,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E06000064,2019,1263,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E06000064,2020,1524,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E06000064,2021,1406,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E06000064,2022,2213,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E06000064,2023,2679,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000066,2015,725,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000066,2016,1224,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000066,2017,1255,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000066,2018,1169,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000066,2019,1035,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000066,2020,1376,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000066,2021,1595,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000066,2022,1613,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
