lad24cd,la_name,population,reference_year,source
E06000058,Bournemouth Christchurch and Poole,408967,2024,ONS MYE mid-2024 released 30 Jul 2025
E06000059,Dorset,389947,2024,ONS MYE mid-2024 released 30 Jul 2025
E06000060,Buckinghamshire,578772,2024,ONS MYE mid-2024 released 30 Jul 2025
E06000061,North Northamptonshire,373871,2024,ONS MYE mid-2024 released 30 Jul 2025
E06000062,West Northamptonshire,439811,2024,ONS MYE mid-2024 released 30 Jul 2025
E06000063,Cumberland,280495,2024,ONS MYE mid-2024 released 30 Jul 2025
E06000064,Westmorland and Furness,230185,2024,ONS MYE mid-2024 released 30 Jul 2025
E06000065,North Yorkshire,635270,2024,ONS MYE mid-2024 released 30 Jul 2025
E06000066,Somerset,588328,2024,ONS MYE mid-2024 released 30 Jul 2025
E07000244,East Suffolk,249664,2024,ONS MYE mid-2024 released 30 Jul 2025
E07000245,West Suffolk,188485,2024,ONS MYE mid-2024 released 30 Jul 2025
